min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
2,1,1e-10,1e-10,rmse,standard,195558.09555581294,10,1819.9545272308135,Model001
2,1,1e-10,1e-10,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model001
14,1,1e-10,1e-10,rmse,standard,195558.09555581294,10,1819.9545272308135,Model002
14,1,1e-10,1e-10,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model002
27,1,1e-10,1e-10,rmse,standard,195558.09555581294,10,1819.9545272308135,Model003
27,1,1e-10,1e-10,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model003
40,1,1e-10,1e-10,rmse,standard,195558.09555581294,10,1819.9545272308135,Model004
40,1,1e-10,1e-10,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model004
2,5,1e-10,1e-10,rmse,standard,195558.0954884162,10,1819.9545242854656,Model005
2,5,1e-10,1e-10,rsq,standard,0.7062863872726205,10,0.018836244500198496,Model005
14,5,1e-10,1e-10,rmse,standard,195558.09548782377,10,1819.9545249624025,Model006
14,5,1e-10,1e-10,rsq,standard,0.7158363681854389,10,0.013402869074502935,Model006
27,5,1e-10,1e-10,rmse,standard,195558.09548826749,10,1819.9545257015495,Model007
27,5,1e-10,1e-10,rsq,standard,0.7087487038898346,10,0.01067164549992823,Model007
40,5,1e-10,1e-10,rmse,standard,195558.09549068665,10,1819.9545253867796,Model008
40,5,1e-10,1e-10,rsq,standard,0.7148860367245419,10,0.012042506033990253,Model008
2,10,1e-10,1e-10,rmse,standard,195558.0954908366,10,1819.9545233852875,Model009
2,10,1e-10,1e-10,rsq,standard,0.7070626288231073,10,0.018327161462240203,Model009
14,10,1e-10,1e-10,rmse,standard,195558.09548824423,10,1819.9545250569447,Model010
14,10,1e-10,1e-10,rsq,standard,0.718610531720886,10,0.013388821363475542,Model010
27,10,1e-10,1e-10,rmse,standard,195558.09548764443,10,1819.9545255755281,Model011
27,10,1e-10,1e-10,rsq,standard,0.711824538486385,10,0.010661781528768613,Model011
40,10,1e-10,1e-10,rmse,standard,195558.09549005257,10,1819.9545248561142,Model012
40,10,1e-10,1e-10,rsq,standard,0.7167220417539837,10,0.012049344085329794,Model012
2,15,1e-10,1e-10,rmse,standard,195558.0954908366,10,1819.9545233852875,Model013
2,15,1e-10,1e-10,rsq,standard,0.7070626288231073,10,0.018327161462240203,Model013
14,15,1e-10,1e-10,rmse,standard,195558.09548824423,10,1819.9545250569447,Model014
14,15,1e-10,1e-10,rsq,standard,0.718610531720886,10,0.013388821363475542,Model014
27,15,1e-10,1e-10,rmse,standard,195558.09548764443,10,1819.9545255755281,Model015
27,15,1e-10,1e-10,rsq,standard,0.711824538486385,10,0.010661781528768613,Model015
40,15,1e-10,1e-10,rmse,standard,195558.09549005257,10,1819.9545248561142,Model016
40,15,1e-10,1e-10,rsq,standard,0.7167220417539837,10,0.012049344085329794,Model016
2,1,1e-7,1e-10,rmse,standard,195556.31055289402,10,1819.9435450258013,Model017
2,1,1e-7,1e-10,rsq,standard,0.4790021847068588,10,0.020965168833786192,Model017
14,1,1e-7,1e-10,rmse,standard,195556.31055289402,10,1819.9435450258013,Model018
14,1,1e-7,1e-10,rsq,standard,0.4790021847068588,10,0.020965168833786192,Model018
27,1,1e-7,1e-10,rmse,standard,195556.31055289402,10,1819.9435450258013,Model019
27,1,1e-7,1e-10,rsq,standard,0.4790021847068588,10,0.020965168833786192,Model019
40,1,1e-7,1e-10,rmse,standard,195556.31055289402,10,1819.9435450258013,Model020
40,1,1e-7,1e-10,rsq,standard,0.4790021847068588,10,0.020965168833786192,Model020
2,5,1e-7,1e-10,rmse,standard,195556.24316029894,10,1819.9405979771323,Model021
2,5,1e-7,1e-10,rsq,standard,0.7062865153705623,10,0.01883644092393144,Model021
14,5,1e-7,1e-10,rmse,standard,195556.2425669659,10,1819.9412752463913,Model022
14,5,1e-7,1e-10,rsq,standard,0.7158367544064641,10,0.013402714223107461,Model022
27,5,1e-7,1e-10,rmse,standard,195556.24301247485,10,1819.942014233855,Model023
27,5,1e-7,1e-10,rsq,standard,0.7087492930002957,10,0.010671398107363375,Model023
40,5,1e-7,1e-10,rmse,standard,195556.24543166606,10,1819.9416998232168,Model024
40,5,1e-7,1e-10,rsq,standard,0.7148859769475708,10,0.012042455269524925,Model024
2,10,1e-7,1e-10,rmse,standard,195556.24558018232,10,1819.939697907648,Model025
2,10,1e-7,1e-10,rsq,standard,0.7070629516419558,10,0.01832738722979291,Model025
14,10,1e-7,1e-10,rmse,standard,195556.24298680873,10,1819.9413695633036,Model026
14,10,1e-7,1e-10,rsq,standard,0.7186108086218959,10,0.013388601988570835,Model026
27,10,1e-7,1e-10,rmse,standard,195556.24238848843,10,1819.9418879363857,Model027
27,10,1e-7,1e-10,rsq,standard,0.7118249990536658,10,0.010661481519233304,Model027
40,10,1e-7,1e-10,rmse,standard,195556.2447974292,10,1819.9411688089165,Model028
40,10,1e-7,1e-10,rsq,standard,0.7167220023505648,10,0.01204933891088613,Model028
2,15,1e-7,1e-10,rmse,standard,195556.24558018232,10,1819.939697907648,Model029
2,15,1e-7,1e-10,rsq,standard,0.7070629516419558,10,0.01832738722979291,Model029
14,15,1e-7,1e-10,rmse,standard,195556.24298680873,10,1819.9413695633036,Model030
14,15,1e-7,1e-10,rsq,standard,0.7186108086218959,10,0.013388601988570835,Model030
27,15,1e-7,1e-10,rmse,standard,195556.24238848843,10,1819.9418879363857,Model031
27,15,1e-7,1e-10,rsq,standard,0.7118249990536658,10,0.010661481519233304,Model031
40,15,1e-7,1e-10,rmse,standard,195556.2447974292,10,1819.9411688089165,Model032
40,15,1e-7,1e-10,rsq,standard,0.7167220023505648,10,0.01204933891088613,Model032
2,1,1e-4,1e-10,rmse,standard,193780.82821291036,10,1809.1158314613356,Model033
2,1,1e-4,1e-10,rsq,standard,0.47900218470685874,10,0.020965168833786185,Model033
14,1,1e-4,1e-10,rmse,standard,193780.82821291036,10,1809.1158314613356,Model034
14,1,1e-4,1e-10,rsq,standard,0.47900218470685874,10,0.020965168833786185,Model034
27,1,1e-4,1e-10,rmse,standard,193780.82821291036,10,1809.1158314613356,Model035
27,1,1e-4,1e-10,rsq,standard,0.47900218470685874,10,0.020965168833786185,Model035
40,1,1e-4,1e-10,rmse,standard,193780.82821291036,10,1809.1158314613356,Model036
40,1,1e-4,1e-10,rsq,standard,0.47900218470685874,10,0.020965168833786185,Model036
2,5,1e-4,1e-10,rmse,standard,193714.90113066888,10,1806.979019268569,Model037
2,5,1e-4,1e-10,rsq,standard,0.7072270476544396,10,0.018633868140144682,Model037
14,5,1e-4,1e-10,rmse,standard,193711.49221867492,10,1806.5631169616015,Model038
14,5,1e-4,1e-10,rsq,standard,0.721302802152215,10,0.014176759355254481,Model038
27,5,1e-4,1e-10,rmse,standard,193711.23835575796,10,1806.909589550674,Model039
27,5,1e-4,1e-10,rsq,standard,0.7147146980460456,10,0.011307055703853297,Model039
40,5,1e-4,1e-10,rmse,standard,193713.53073787177,10,1806.9608479698788,Model040
40,5,1e-4,1e-10,rsq,standard,0.7189651470087234,10,0.013137936996054785,Model040
2,10,1e-4,1e-10,rmse,standard,193716.16500537557,10,1806.537975997652,Model041
2,10,1e-4,1e-10,rsq,standard,0.7086291337693732,10,0.018370510883051364,Model041
14,10,1e-4,1e-10,rmse,standard,193711.6472856736,10,1806.8068239947947,Model042
14,10,1e-4,1e-10,rsq,standard,0.7240273096191637,10,0.014146019978882598,Model042
27,10,1e-4,1e-10,rmse,standard,193710.7446153849,10,1807.0058452753005,Model043
27,10,1e-4,1e-10,rsq,standard,0.7178578467964222,10,0.01131282601189461,Model043
40,10,1e-4,1e-10,rmse,standard,193712.56125692427,10,1806.6366388033357,Model044
40,10,1e-4,1e-10,rsq,standard,0.720887193432734,10,0.013143433551465168,Model044
2,15,1e-4,1e-10,rmse,standard,193716.16500537557,10,1806.537975997652,Model045
2,15,1e-4,1e-10,rsq,standard,0.7086291337693732,10,0.018370510883051364,Model045
14,15,1e-4,1e-10,rmse,standard,193711.6472856736,10,1806.8068239947947,Model046
14,15,1e-4,1e-10,rsq,standard,0.7240273096191637,10,0.014146019978882598,Model046
27,15,1e-4,1e-10,rmse,standard,193710.7446153849,10,1807.0058452753005,Model047
27,15,1e-4,1e-10,rsq,standard,0.7178578467964222,10,0.01131282601189461,Model047
40,15,1e-4,1e-10,rmse,standard,193712.56125692427,10,1806.6366388033357,Model048
40,15,1e-4,1e-10,rsq,standard,0.720887193432734,10,0.013143433551465168,Model048
2,1,0.1,1e-10,rmse,standard,30552.15430465318,10,2300.0391472733536,Model049
2,1,0.1,1e-10,rsq,standard,0.8519528931273975,10,0.022227174819544317,Model049
14,1,0.1,1e-10,rmse,standard,29847.2672725016,10,1967.2868981528147,Model050
14,1,0.1,1e-10,rsq,standard,0.8582101264879699,10,0.016383488918893813,Model050
27,1,0.1,1e-10,rmse,standard,29342.665803492022,10,1821.798684322154,Model051
27,1,0.1,1e-10,rsq,standard,0.86367073655924,10,0.01285908941857927,Model051
40,1,0.1,1e-10,rmse,standard,29636.983868718024,10,1834.112963986105,Model052
40,1,0.1,1e-10,rsq,standard,0.8605422470400618,10,0.011563479843547792,Model052
2,5,0.1,1e-10,rmse,standard,27753.316676335977,10,2866.500322929167,Model053
2,5,0.1,1e-10,rsq,standard,0.8713856360583261,10,0.02666014700449069,Model053
14,5,0.1,1e-10,rmse,standard,27529.231404252034,10,2414.2244445380047,Model054
14,5,0.1,1e-10,rsq,standard,0.8746635109938051,10,0.01989810877818641,Model054
27,5,0.1,1e-10,rmse,standard,26517.606491285405,10,2027.2399419934604,Model055
27,5,0.1,1e-10,rsq,standard,0.8831140003166912,10,0.015887641845247137,Model055
40,5,0.1,1e-10,rmse,standard,26671.607483566848,10,1830.2444495835239,Model056
40,5,0.1,1e-10,rsq,standard,0.8830027546076047,10,0.012739303467915955,Model056
2,10,0.1,1e-10,rmse,standard,28371.264619228954,10,2637.172766611073,Model057
2,10,0.1,1e-10,rsq,standard,0.8654805362706742,10,0.026023146904892096,Model057
14,10,0.1,1e-10,rmse,standard,27934.67195162667,10,2470.282224068323,Model058
14,10,0.1,1e-10,rsq,standard,0.8719571625794392,10,0.020886666589603108,Model058
27,10,0.1,1e-10,rmse,standard,26620.120558845163,10,1978.816616110123,Model059
27,10,0.1,1e-10,rsq,standard,0.8821389851220305,10,0.015489218584878957,Model059
40,10,0.1,1e-10,rmse,standard,26578.84602702694,10,1792.9075857905596,Model060
40,10,0.1,1e-10,rsq,standard,0.8836099187960522,10,0.012538645097321742,Model060
2,15,0.1,1e-10,rmse,standard,28770.073807913737,10,2663.6348974919842,Model061
2,15,0.1,1e-10,rsq,standard,0.8629093967999235,10,0.025764066804873004,Model061
14,15,0.1,1e-10,rmse,standard,27980.156873899552,10,2392.8118607184724,Model062
14,15,0.1,1e-10,rsq,standard,0.8711576429493231,10,0.019970073660489307,Model062
27,15,0.1,1e-10,rmse,standard,26739.173313213683,10,1957.0255140702197,Model063
27,15,0.1,1e-10,rsq,standard,0.8811223852083561,10,0.01567465681972869,Model063
40,15,0.1,1e-10,rmse,standard,26709.14243222889,10,1764.3775821028335,Model064
40,15,0.1,1e-10,rsq,standard,0.8826574125950665,10,0.01251862735044859,Model064
2,1,1e-10,6.812920690579622e-7,rmse,standard,195558.09555581294,10,1819.9545272308135,Model065
2,1,1e-10,6.812920690579622e-7,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model065
14,1,1e-10,6.812920690579622e-7,rmse,standard,195558.09555581294,10,1819.9545272308135,Model066
14,1,1e-10,6.812920690579622e-7,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model066
27,1,1e-10,6.812920690579622e-7,rmse,standard,195558.09555581294,10,1819.9545272308135,Model067
27,1,1e-10,6.812920690579622e-7,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model067
40,1,1e-10,6.812920690579622e-7,rmse,standard,195558.09555581294,10,1819.9545272308135,Model068
40,1,1e-10,6.812920690579622e-7,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model068
2,5,1e-10,6.812920690579622e-7,rmse,standard,195558.0954884162,10,1819.9545242854656,Model069
2,5,1e-10,6.812920690579622e-7,rsq,standard,0.7062863872726205,10,0.018836244500198496,Model069
14,5,1e-10,6.812920690579622e-7,rmse,standard,195558.09548782377,10,1819.9545249624025,Model070
14,5,1e-10,6.812920690579622e-7,rsq,standard,0.7158363681854389,10,0.013402869074502935,Model070
27,5,1e-10,6.812920690579622e-7,rmse,standard,195558.09548826749,10,1819.9545257015495,Model071
27,5,1e-10,6.812920690579622e-7,rsq,standard,0.7087487038898346,10,0.01067164549992823,Model071
40,5,1e-10,6.812920690579622e-7,rmse,standard,195558.09549068665,10,1819.9545253867796,Model072
40,5,1e-10,6.812920690579622e-7,rsq,standard,0.7148860367245419,10,0.012042506033990253,Model072
2,10,1e-10,6.812920690579622e-7,rmse,standard,195558.0954908366,10,1819.9545233852875,Model073
2,10,1e-10,6.812920690579622e-7,rsq,standard,0.7070626288231073,10,0.018327161462240203,Model073
14,10,1e-10,6.812920690579622e-7,rmse,standard,195558.09548824423,10,1819.9545250569447,Model074
14,10,1e-10,6.812920690579622e-7,rsq,standard,0.718610531720886,10,0.013388821363475542,Model074
27,10,1e-10,6.812920690579622e-7,rmse,standard,195558.09548764443,10,1819.9545255755281,Model075
27,10,1e-10,6.812920690579622e-7,rsq,standard,0.711824538486385,10,0.010661781528768613,Model075
40,10,1e-10,6.812920690579622e-7,rmse,standard,195558.09549005257,10,1819.9545248561142,Model076
40,10,1e-10,6.812920690579622e-7,rsq,standard,0.7167220417539837,10,0.012049344085329794,Model076
2,15,1e-10,6.812920690579622e-7,rmse,standard,195558.0954908366,10,1819.9545233852875,Model077
2,15,1e-10,6.812920690579622e-7,rsq,standard,0.7070626288231073,10,0.018327161462240203,Model077
14,15,1e-10,6.812920690579622e-7,rmse,standard,195558.09548824423,10,1819.9545250569447,Model078
14,15,1e-10,6.812920690579622e-7,rsq,standard,0.718610531720886,10,0.013388821363475542,Model078
27,15,1e-10,6.812920690579622e-7,rmse,standard,195558.09548764443,10,1819.9545255755281,Model079
27,15,1e-10,6.812920690579622e-7,rsq,standard,0.711824538486385,10,0.010661781528768613,Model079
40,15,1e-10,6.812920690579622e-7,rmse,standard,195558.09549005257,10,1819.9545248561142,Model080
40,15,1e-10,6.812920690579622e-7,rsq,standard,0.7167220417539837,10,0.012049344085329794,Model080
2,1,1e-7,6.812920690579622e-7,rmse,standard,195556.31055289402,10,1819.9435450258013,Model081
2,1,1e-7,6.812920690579622e-7,rsq,standard,0.4790021847068588,10,0.020965168833786192,Model081
14,1,1e-7,6.812920690579622e-7,rmse,standard,195556.31055289402,10,1819.9435450258013,Model082
14,1,1e-7,6.812920690579622e-7,rsq,standard,0.4790021847068588,10,0.020965168833786192,Model082
27,1,1e-7,6.812920690579622e-7,rmse,standard,195556.31055289402,10,1819.9435450258013,Model083
27,1,1e-7,6.812920690579622e-7,rsq,standard,0.4790021847068588,10,0.020965168833786192,Model083
40,1,1e-7,6.812920690579622e-7,rmse,standard,195556.31055289402,10,1819.9435450258013,Model084
40,1,1e-7,6.812920690579622e-7,rsq,standard,0.4790021847068588,10,0.020965168833786192,Model084
2,5,1e-7,6.812920690579622e-7,rmse,standard,195556.24316029894,10,1819.9405979771323,Model085
2,5,1e-7,6.812920690579622e-7,rsq,standard,0.7062865153705623,10,0.01883644092393144,Model085
14,5,1e-7,6.812920690579622e-7,rmse,standard,195556.2425669659,10,1819.9412752463913,Model086
14,5,1e-7,6.812920690579622e-7,rsq,standard,0.7158367544064641,10,0.013402714223107461,Model086
27,5,1e-7,6.812920690579622e-7,rmse,standard,195556.24301247485,10,1819.942014233855,Model087
27,5,1e-7,6.812920690579622e-7,rsq,standard,0.7087492930002957,10,0.010671398107363375,Model087
40,5,1e-7,6.812920690579622e-7,rmse,standard,195556.24543166606,10,1819.9416998232168,Model088
40,5,1e-7,6.812920690579622e-7,rsq,standard,0.7148859769475708,10,0.012042455269524925,Model088
2,10,1e-7,6.812920690579622e-7,rmse,standard,195556.24558018232,10,1819.939697907648,Model089
2,10,1e-7,6.812920690579622e-7,rsq,standard,0.7070629516419558,10,0.01832738722979291,Model089
14,10,1e-7,6.812920690579622e-7,rmse,standard,195556.24298680873,10,1819.9413695633036,Model090
14,10,1e-7,6.812920690579622e-7,rsq,standard,0.7186108086218959,10,0.013388601988570835,Model090
27,10,1e-7,6.812920690579622e-7,rmse,standard,195556.24238848843,10,1819.9418879363857,Model091
27,10,1e-7,6.812920690579622e-7,rsq,standard,0.7118249990536658,10,0.010661481519233304,Model091
40,10,1e-7,6.812920690579622e-7,rmse,standard,195556.2447974292,10,1819.9411688089165,Model092
40,10,1e-7,6.812920690579622e-7,rsq,standard,0.7167220023505648,10,0.01204933891088613,Model092
2,15,1e-7,6.812920690579622e-7,rmse,standard,195556.24558018232,10,1819.939697907648,Model093
2,15,1e-7,6.812920690579622e-7,rsq,standard,0.7070629516419558,10,0.01832738722979291,Model093
14,15,1e-7,6.812920690579622e-7,rmse,standard,195556.24298680873,10,1819.9413695633036,Model094
14,15,1e-7,6.812920690579622e-7,rsq,standard,0.7186108086218959,10,0.013388601988570835,Model094
27,15,1e-7,6.812920690579622e-7,rmse,standard,195556.24238848843,10,1819.9418879363857,Model095
27,15,1e-7,6.812920690579622e-7,rsq,standard,0.7118249990536658,10,0.010661481519233304,Model095
40,15,1e-7,6.812920690579622e-7,rmse,standard,195556.2447974292,10,1819.9411688089165,Model096
40,15,1e-7,6.812920690579622e-7,rsq,standard,0.7167220023505648,10,0.01204933891088613,Model096
2,1,1e-4,6.812920690579622e-7,rmse,standard,193780.82821291036,10,1809.1158314613356,Model097
2,1,1e-4,6.812920690579622e-7,rsq,standard,0.47900218470685874,10,0.020965168833786185,Model097
14,1,1e-4,6.812920690579622e-7,rmse,standard,193780.82821291036,10,1809.1158314613356,Model098
14,1,1e-4,6.812920690579622e-7,rsq,standard,0.47900218470685874,10,0.020965168833786185,Model098
27,1,1e-4,6.812920690579622e-7,rmse,standard,193780.82821291036,10,1809.1158314613356,Model099
27,1,1e-4,6.812920690579622e-7,rsq,standard,0.47900218470685874,10,0.020965168833786185,Model099
40,1,1e-4,6.812920690579622e-7,rmse,standard,193780.82821291036,10,1809.1158314613356,Model100
40,1,1e-4,6.812920690579622e-7,rsq,standard,0.47900218470685874,10,0.020965168833786185,Model100
2,5,1e-4,6.812920690579622e-7,rmse,standard,193714.90113066888,10,1806.979019268569,Model101
2,5,1e-4,6.812920690579622e-7,rsq,standard,0.7072270476544396,10,0.018633868140144682,Model101
14,5,1e-4,6.812920690579622e-7,rmse,standard,193711.49221867492,10,1806.5631169616015,Model102
14,5,1e-4,6.812920690579622e-7,rsq,standard,0.721302802152215,10,0.014176759355254481,Model102
27,5,1e-4,6.812920690579622e-7,rmse,standard,193711.23835575796,10,1806.909589550674,Model103
27,5,1e-4,6.812920690579622e-7,rsq,standard,0.7147146980460456,10,0.011307055703853297,Model103
40,5,1e-4,6.812920690579622e-7,rmse,standard,193713.53073787177,10,1806.9608479698788,Model104
40,5,1e-4,6.812920690579622e-7,rsq,standard,0.7189651470087234,10,0.013137936996054785,Model104
2,10,1e-4,6.812920690579622e-7,rmse,standard,193716.16500537557,10,1806.537975997652,Model105
2,10,1e-4,6.812920690579622e-7,rsq,standard,0.7086291337693732,10,0.018370510883051364,Model105
14,10,1e-4,6.812920690579622e-7,rmse,standard,193711.6472856736,10,1806.8068239947947,Model106
14,10,1e-4,6.812920690579622e-7,rsq,standard,0.7240273096191637,10,0.014146019978882598,Model106
27,10,1e-4,6.812920690579622e-7,rmse,standard,193710.7446153849,10,1807.0058452753005,Model107
27,10,1e-4,6.812920690579622e-7,rsq,standard,0.7178578467964222,10,0.01131282601189461,Model107
40,10,1e-4,6.812920690579622e-7,rmse,standard,193712.56125692427,10,1806.6366388033357,Model108
40,10,1e-4,6.812920690579622e-7,rsq,standard,0.720887193432734,10,0.013143433551465168,Model108
2,15,1e-4,6.812920690579622e-7,rmse,standard,193716.16500537557,10,1806.537975997652,Model109
2,15,1e-4,6.812920690579622e-7,rsq,standard,0.7086291337693732,10,0.018370510883051364,Model109
14,15,1e-4,6.812920690579622e-7,rmse,standard,193711.6472856736,10,1806.8068239947947,Model110
14,15,1e-4,6.812920690579622e-7,rsq,standard,0.7240273096191637,10,0.014146019978882598,Model110
27,15,1e-4,6.812920690579622e-7,rmse,standard,193710.7446153849,10,1807.0058452753005,Model111
27,15,1e-4,6.812920690579622e-7,rsq,standard,0.7178578467964222,10,0.01131282601189461,Model111
40,15,1e-4,6.812920690579622e-7,rmse,standard,193712.56125692427,10,1806.6366388033357,Model112
40,15,1e-4,6.812920690579622e-7,rsq,standard,0.720887193432734,10,0.013143433551465168,Model112
2,1,0.1,6.812920690579622e-7,rmse,standard,30552.15430465318,10,2300.0391472733536,Model113
2,1,0.1,6.812920690579622e-7,rsq,standard,0.8519528931273975,10,0.022227174819544317,Model113
14,1,0.1,6.812920690579622e-7,rmse,standard,29847.2672725016,10,1967.2868981528147,Model114
14,1,0.1,6.812920690579622e-7,rsq,standard,0.8582101264879699,10,0.016383488918893813,Model114
27,1,0.1,6.812920690579622e-7,rmse,standard,29342.665803492022,10,1821.798684322154,Model115
27,1,0.1,6.812920690579622e-7,rsq,standard,0.86367073655924,10,0.01285908941857927,Model115
40,1,0.1,6.812920690579622e-7,rmse,standard,29636.983868718024,10,1834.112963986105,Model116
40,1,0.1,6.812920690579622e-7,rsq,standard,0.8605422470400618,10,0.011563479843547792,Model116
2,5,0.1,6.812920690579622e-7,rmse,standard,27753.316676335977,10,2866.500322929167,Model117
2,5,0.1,6.812920690579622e-7,rsq,standard,0.8713856360583261,10,0.02666014700449069,Model117
14,5,0.1,6.812920690579622e-7,rmse,standard,27529.231404252034,10,2414.2244445380047,Model118
14,5,0.1,6.812920690579622e-7,rsq,standard,0.8746635109938051,10,0.01989810877818641,Model118
27,5,0.1,6.812920690579622e-7,rmse,standard,26517.606491285405,10,2027.2399419934604,Model119
27,5,0.1,6.812920690579622e-7,rsq,standard,0.8831140003166912,10,0.015887641845247137,Model119
40,5,0.1,6.812920690579622e-7,rmse,standard,26671.607483566848,10,1830.2444495835239,Model120
40,5,0.1,6.812920690579622e-7,rsq,standard,0.8830027546076047,10,0.012739303467915955,Model120
2,10,0.1,6.812920690579622e-7,rmse,standard,28371.264619228954,10,2637.172766611073,Model121
2,10,0.1,6.812920690579622e-7,rsq,standard,0.8654805362706742,10,0.026023146904892096,Model121
14,10,0.1,6.812920690579622e-7,rmse,standard,27934.67195162667,10,2470.282224068323,Model122
14,10,0.1,6.812920690579622e-7,rsq,standard,0.8719571625794392,10,0.020886666589603108,Model122
27,10,0.1,6.812920690579622e-7,rmse,standard,26620.120558845163,10,1978.816616110123,Model123
27,10,0.1,6.812920690579622e-7,rsq,standard,0.8821389851220305,10,0.015489218584878957,Model123
40,10,0.1,6.812920690579622e-7,rmse,standard,26578.84602702694,10,1792.9075857905596,Model124
40,10,0.1,6.812920690579622e-7,rsq,standard,0.8836099187960522,10,0.012538645097321742,Model124
2,15,0.1,6.812920690579622e-7,rmse,standard,28770.073807913737,10,2663.6348974919842,Model125
2,15,0.1,6.812920690579622e-7,rsq,standard,0.8629093967999235,10,0.025764066804873004,Model125
14,15,0.1,6.812920690579622e-7,rmse,standard,27980.156873899552,10,2392.8118607184724,Model126
14,15,0.1,6.812920690579622e-7,rsq,standard,0.8711576429493231,10,0.019970073660489307,Model126
27,15,0.1,6.812920690579622e-7,rmse,standard,26739.173313213683,10,1957.0255140702197,Model127
27,15,0.1,6.812920690579622e-7,rsq,standard,0.8811223852083561,10,0.01567465681972869,Model127
40,15,0.1,6.812920690579622e-7,rmse,standard,26709.14243222889,10,1764.3775821028335,Model128
40,15,0.1,6.812920690579622e-7,rsq,standard,0.8826574125950665,10,0.01251862735044859,Model128
2,1,1e-10,0.004641588833612782,rmse,standard,195558.09555581294,10,1819.9545272308135,Model129
2,1,1e-10,0.004641588833612782,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model129
14,1,1e-10,0.004641588833612782,rmse,standard,195558.09555581294,10,1819.9545272308135,Model130
14,1,1e-10,0.004641588833612782,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model130
27,1,1e-10,0.004641588833612782,rmse,standard,195558.09555581294,10,1819.9545272308135,Model131
27,1,1e-10,0.004641588833612782,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model131
40,1,1e-10,0.004641588833612782,rmse,standard,195558.09555581294,10,1819.9545272308135,Model132
40,1,1e-10,0.004641588833612782,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model132
